,bib,name,team,category,rank,nationality,time,Delev,StGer,Conta,Balme,Bonhom,Chapieu,Seigne,Combal,MtFavre,Checrou,Courm1,Courm2,Bertone,Bonatti,Arnuva,GdColF,Fouly,Champex,Giete,Trient,Catogne,Vallo,TaVents,Flegere,Arrivee,timediff
38,216,VIVES XIOL Pau,CLUB EXCURSIONISTA SEVA,V1H,39,ES,98870.0,5438.0,7795.0,12385.0,16696.0,20930.0,23113.0,29580.0,33653.0,36734.0,38620.0,40694.0,41798.0,45970.0,49632.0,52270.0,56482.0,60515.0,,76179.0,78408.0,83298.0,86070.0,92913.0,95121.0,98870.0,22715.0
39,212,BIOLLAZ daniel,LES TRAILERS DU MôLE,V1H,40,FR,98920.0,5774.0,8260.0,12709.0,17022.0,21226.0,23413.0,29905.0,34240.0,37557.0,39552.0,41750.0,42412.0,47061.0,50890.0,53346.0,58113.0,62396.0,70088.0,78235.0,80168.0,85161.0,87589.0,94148.0,95915.0,98920.0,22765.0
40,86,ZIMMERMANN Denise,TEAM SALOMON SUUNTO,V1F,41,CH,99231.0,5581.0,8201.0,12716.0,17045.0,21382.0,23563.0,29690.0,33823.0,36783.0,38729.0,40779.0,41263.0,45428.0,49127.0,51863.0,55500.0,59306.0,66552.0,74597.0,77100.0,82199.0,85353.0,92446.0,94943.0,99231.0,23076.0
41,236,MACIAS PEREZ Luís Carlos,Miguelañez,V1H,42,ES,99442.0,5487.0,7851.0,12055.0,16174.0,20475.0,22539.0,29215.0,32967.0,36043.0,37863.0,39797.0,40835.0,45014.0,48685.0,51402.0,55912.0,59983.0,67547.0,76950.0,79158.0,83980.0,86841.0,93917.0,96176.0,99442.0,23287.0
42,264,OGLY Krystian,KB SOBÓTKA,SEH,43,PL,99461.0,5267.0,7535.0,11910.0,17457.0,21845.0,23868.0,30850.0,34976.0,38524.0,40246.0,42072.0,44638.0,48580.0,52030.0,54525.0,58800.0,62692.0,69905.0,78323.0,80360.0,85337.0,88113.0,94728.0,96731.0,99461.0,23306.0
43,79,TRIGUEROS GARROTE Silvia Ainhoa,RACE LAND,SEF,44,ES,99576.0,5359.0,7662.0,11842.0,15915.0,20013.0,21971.0,28304.0,32290.0,35434.0,37246.0,39143.0,39509.0,43794.0,47991.0,50524.0,54760.0,58626.0,66511.0,75598.0,78242.0,83585.0,86491.0,93985.0,96353.0,99576.0,23421.0
44,206,AQUINO CAMPOS Alfredo,,SEH,45,AR,99806.0,5986.0,8548.0,12984.0,17120.0,21290.0,23354.0,29537.0,33661.0,36707.0,38491.0,40478.0,40764.0,44852.0,48466.0,50911.0,54800.0,59095.0,67185.0,75965.0,78256.0,83530.0,86731.0,94179.0,96462.0,99806.0,23651.0
45,51,CAMUS Sylvain,TEAM GARMIN,SEH,46,FR,99966.0,5105.0,7379.0,11483.0,15690.0,19593.0,21606.0,27434.0,30808.0,33672.0,35263.0,37036.0,37925.0,41872.0,45566.0,47917.0,51616.0,55330.0,62509.0,72973.0,76286.0,81814.0,87559.0,94436.0,96405.0,99966.0,23811.0
46,49,CAMUS Sébastien,TEAM GARMIN,SEH,47,FR,99967.0,5118.0,7401.0,11566.0,15682.0,19588.0,21610.0,27429.0,30804.0,33666.0,35260.0,37034.0,37924.0,41861.0,45563.0,48042.0,51613.0,55340.0,62511.0,72980.0,76035.0,80896.0,83825.0,92707.0,95746.0,99967.0,23812.0
47,194,ASHTON Richard,,SEH,48,GB,100085.0,5628.0,8078.0,12721.0,17174.0,21629.0,23809.0,31015.0,35022.0,38297.0,40286.0,42196.0,42889.0,47127.0,50707.0,53153.0,57456.0,61247.0,,76621.0,79042.0,84707.0,87870.0,94521.0,96753.0,100085.0,23930.0
